Age,Income,LoanAmount,CreditScore,Default
25,45000,10000,650,No
34,65000,15000,720,No
45,85000,20000,780,No
22,25000,5000,550,Yes
50,95000,30000,800,No
28,35000,12000,600,Yes
32,55000,18000,680,No
40,75000,25000,750,No
26,48000,11000,660,No
38,68000,16000,730,No
42,82000,22000,770,No
24,28000,6000,560,Yes
55,105000,35000,820,No
29,38000,13000,610,Yes
31,52000,17000,690,No
39,72000,24000,740,No
27,46000,10500,655,No
35,66000,15500,725,No
46,86000,20500,785,No
23,26000,5500,555,Yes
51,96000,31000,805,No
29,36000,12500,605,Yes
33,56000,18500,685,No
41,76000,25500,755,No
